Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
T.S_StartPage_WEB,Chrome 74.0.3729.131,,2019-05-13 21:48:09,2019-05-13 21:48:51,"41,821s",PASSED
,,,,,,
Test Cases/T.C_StartPage_1024x768_WEB,Chrome 74.0.3729.131,,2019-05-13 21:48:09,2019-05-13 21:48:20,"10,391s",PASSED
n = 0,Chrome 74.0.3729.131,,2019-05-13 21:48:10,2019-05-13 21:48:10,"0,020s",PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-13 21:48:10,2019-05-13 21:48:14,"3,886s",PASSED
"setViewPortSize(1024, 768)",Chrome 74.0.3729.131,,2019-05-13 21:48:14,2019-05-13 21:48:15,"1,147s",PASSED
"navigateToUrl(""http://veryx-client-dev.azurewebsites.net/#/"")",Chrome 74.0.3729.131,,2019-05-13 21:48:15,2019-05-13 21:48:17,"1,899s",PASSED
waitForPageLoad(0),Chrome 74.0.3729.131,,2019-05-13 21:48:17,2019-05-13 21:48:17,"0,060s",PASSED
"setText(findTestObject(""StartPage_OR/input_Correo Electrnico _email""), ""alejos@mail.com"")",Chrome 74.0.3729.131,,2019-05-13 21:48:17,2019-05-13 21:48:17,"0,304s",PASSED
"setEncryptedText(findTestObject(""StartPage_OR/input_Contrasea _password""), ""n3FO92K+dHdem137Wy3cYA=="")",Chrome 74.0.3729.131,,2019-05-13 21:48:17,2019-05-13 21:48:17,"0,302s",PASSED
"takeScreenshot(""Screenshots/StartPage/1024X768/Start-"" + n + "".png"")",Chrome 74.0.3729.131,,2019-05-13 21:48:17,2019-05-13 21:48:18,"0,641s",PASSED
(n++),Chrome 74.0.3729.131,,2019-05-13 21:48:18,2019-05-13 21:48:18,"0,001s",PASSED
"scrollToPosition(0, 400)",Chrome 74.0.3729.131,,2019-05-13 21:48:18,2019-05-13 21:48:18,"0,056s",PASSED
"takeScreenshot(""Screenshots/StartPage/1024X768/Start-"" + n + "".png"")",Chrome 74.0.3729.131,,2019-05-13 21:48:18,2019-05-13 21:48:18,"0,397s",PASSED
(n++),Chrome 74.0.3729.131,,2019-05-13 21:48:18,2019-05-13 21:48:18,"0,000s",PASSED
"scrollToElement(findTestObject(""StartPage_OR/p_2019 VERyx""), 0)",Chrome 74.0.3729.131,,2019-05-13 21:48:18,2019-05-13 21:48:19,"0,082s",PASSED
"takeScreenshot(""Screenshots/StartPage/1024X768/Start-"" + n + "".png"")",Chrome 74.0.3729.131,,2019-05-13 21:48:19,2019-05-13 21:48:19,"0,363s",PASSED
(n++),Chrome 74.0.3729.131,,2019-05-13 21:48:19,2019-05-13 21:48:19,"0,001s",PASSED
closeBrowser(),Chrome 74.0.3729.131,,2019-05-13 21:48:19,2019-05-13 21:48:20,"0,870s",PASSED
,,,,,,
Test Cases/T.C_StartPage_1366x768_WEB,Chrome 74.0.3729.131,,2019-05-13 21:48:20,2019-05-13 21:48:28,"7,870s",PASSED
n = 0,Chrome 74.0.3729.131,,2019-05-13 21:48:20,2019-05-13 21:48:20,"0,001s",PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-13 21:48:20,2019-05-13 21:48:22,"2,385s",PASSED
"setViewPortSize(1366, 768)",Chrome 74.0.3729.131,,2019-05-13 21:48:22,2019-05-13 21:48:24,"1,142s",PASSED
"navigateToUrl(""http://veryx-client-dev.azurewebsites.net/#/"")",Chrome 74.0.3729.131,,2019-05-13 21:48:24,2019-05-13 21:48:25,"1,573s",PASSED
waitForPageLoad(0),Chrome 74.0.3729.131,,2019-05-13 21:48:25,2019-05-13 21:48:25,"0,058s",PASSED
"setText(findTestObject(""StartPage_OR/input_Correo Electrnico _email""), ""alejos@mail.com"")",Chrome 74.0.3729.131,,2019-05-13 21:48:25,2019-05-13 21:48:26,"0,287s",PASSED
"setEncryptedText(findTestObject(""StartPage_OR/input_Contrasea _password""), ""n3FO92K+dHdem137Wy3cYA=="")",Chrome 74.0.3729.131,,2019-05-13 21:48:26,2019-05-13 21:48:26,"0,197s",PASSED
"takeScreenshot(""Screenshots/StartPage/1366X768/Start-"" + n + "".png"")",Chrome 74.0.3729.131,,2019-05-13 21:48:26,2019-05-13 21:48:26,"0,447s",PASSED
(n++),Chrome 74.0.3729.131,,2019-05-13 21:48:26,2019-05-13 21:48:26,"0,001s",PASSED
"scrollToPosition(0, 400)",Chrome 74.0.3729.131,,2019-05-13 21:48:26,2019-05-13 21:48:26,"0,020s",PASSED
"takeScreenshot(""Screenshots/StartPage/1366X768/Start-"" + n + "".png"")",Chrome 74.0.3729.131,,2019-05-13 21:48:26,2019-05-13 21:48:27,"0,337s",PASSED
(n++),Chrome 74.0.3729.131,,2019-05-13 21:48:27,2019-05-13 21:48:27,"0,001s",PASSED
"scrollToElement(findTestObject(""StartPage_OR/p_2019 VERyx""), 0)",Chrome 74.0.3729.131,,2019-05-13 21:48:27,2019-05-13 21:48:27,"0,043s",PASSED
"takeScreenshot(""Screenshots/StartPage/1366X768/Start-"" + n + "".png"")",Chrome 74.0.3729.131,,2019-05-13 21:48:27,2019-05-13 21:48:27,"0,317s",PASSED
(n++),Chrome 74.0.3729.131,,2019-05-13 21:48:27,2019-05-13 21:48:27,"0,000s",PASSED
closeBrowser(),Chrome 74.0.3729.131,,2019-05-13 21:48:27,2019-05-13 21:48:28,"0,762s",PASSED
,,,,,,
Test Cases/T.C_StartPage_1440x900_WEB,Chrome 74.0.3729.131,,2019-05-13 21:48:28,2019-05-13 21:48:35,"7,690s",PASSED
n = 0,Chrome 74.0.3729.131,,2019-05-13 21:48:28,2019-05-13 21:48:28,"0,008s",PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-13 21:48:28,2019-05-13 21:48:30,"2,358s",PASSED
"setViewPortSize(1440, 900)",Chrome 74.0.3729.131,,2019-05-13 21:48:30,2019-05-13 21:48:31,"1,130s",PASSED
"navigateToUrl(""http://veryx-client-dev.azurewebsites.net/#/"")",Chrome 74.0.3729.131,,2019-05-13 21:48:31,2019-05-13 21:48:33,"1,532s",PASSED
waitForPageLoad(0),Chrome 74.0.3729.131,,2019-05-13 21:48:33,2019-05-13 21:48:33,"0,016s",PASSED
"setText(findTestObject(""StartPage_OR/input_Correo Electrnico _email""), ""alejos@mail.com"")",Chrome 74.0.3729.131,,2019-05-13 21:48:33,2019-05-13 21:48:33,"0,257s",PASSED
"setEncryptedText(findTestObject(""StartPage_OR/input_Contrasea _password""), ""n3FO92K+dHdem137Wy3cYA=="")",Chrome 74.0.3729.131,,2019-05-13 21:48:33,2019-05-13 21:48:33,"0,176s",PASSED
"takeScreenshot(""Screenshots/StartPage/1440x900/Start-"" + n + "".png"")",Chrome 74.0.3729.131,,2019-05-13 21:48:33,2019-05-13 21:48:34,"0,634s",PASSED
(n++),Chrome 74.0.3729.131,,2019-05-13 21:48:34,2019-05-13 21:48:34,"0,000s",PASSED
"scrollToElement(findTestObject(""StartPage_OR/p_2019 VERyx""), 0)",Chrome 74.0.3729.131,,2019-05-13 21:48:34,2019-05-13 21:48:34,"0,144s",PASSED
